Route_ID,Route_Name,Action_Taken,New_Route_ID,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,HV_POI_Count,Overlap_Metric,Geo_Source,Map_File
R0256,JANIPUR ↔ SUNJWAN,RETAINED_AS_FEEDER,FDR-128,16.159,Peri_Urban,1383.5,214.8,City_Core,32,48.0,7,3.5,0.7294,0.1231,0.75,0.3197,True,MP,30,8,0,8,False,,268,11,0.1668,OSRM,route_maps/FDR-128.html
R0257,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-289,26.612,Peri_Urban,1740.5,316.8,City_Core,53,79.5,13,6.5,0.4575,0.0669,0.75,0.1966,True,MP,30,11,0,11,False,,289,10,0.1461,OSRM,route_maps/FDR-289.html
R0258,JANIPUR ↔ SAINIK COLONY,UPGRADED_TO_TRUNK,CMP-04,11.386,Urban,676.6,125.5,City_Core,22,33.0,3,1.5,0.6514,0.1219,1.25,0.4833,True,MP,10,13,12,1,True,CMP-04,174,7,0.2589,OSRM,route_maps/CMP-04.html
R0260,JANIPUR ↔ KOTLI MURALIAN,RETAINED_AS_FEEDER,FDR-096,16.004,Peri_Urban,866.9,171.4,City_Core,32,48.0,2,1.0,0.8043,0.157,0.75,0.3605,True,MP,30,6,0,6,False,,309,13,0.2135,OSRM,route_maps/FDR-096.html
R0261,JANIPUR ↔ BARI BRAHMANA IND  COMPLEX,RETAINED_AS_FEEDER,FDR-146,28.68,Peri_Urban,2078.0,352.6,City_Core,57,85.5,11,5.5,0.7144,0.0876,0.75,0.3008,True,MP,30,12,0,12,False,,453,14,0.1697,OSRM,route_maps/FDR-146.html
R0262,JANIPUR ↔ KOTLI MIAN FETHY,RETAINED_AS_FEEDER,FDR-252,25.239,Peri_Urban,2083.1,328.8,City_Core,50,75.0,10,5.0,0.5071,0.1006,0.75,0.2279,True,MP,30,11,0,11,False,,319,14,0.1314,OSRM,route_maps/FDR-252.html
R0263,JANIPUR ↔ CHATHA,RETAINED_AS_FEEDER,FDR-171,17.719,Peri_Urban,1211.1,213.1,City_Core,35,52.5,8,4.0,0.6615,0.0946,0.75,0.2835,True,MP,30,8,0,8,False,,270,9,0.2016,OSRM,route_maps/FDR-171.html
R0264,JANIPUR ↔ CHANNI HIMMAT,UPGRADED_TO_TRUNK,CMP-01,12.327,Urban,744.7,142.6,City_Core,24,36.0,8,4.0,0.8449,0.1635,1.25,0.6302,True,HP,10,15,13,2,True,CMP-01,246,12,0.1778,OSRM,route_maps/CMP-01.html
R0265,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-192,32.51,Peri_Urban,2554.8,417.3,City_Core,65,97.5,14,7.0,0.622,0.0958,0.75,0.2692,True,MP,30,14,0,14,False,,486,16,0.1534,OSRM,route_maps/FDR-192.html
R0266,JANIPUR ↔ SANGRAMPUR,RETAINED_AS_FEEDER,FDR-125,13.334,Urban,914.2,160.5,City_Core,26,39.0,7,3.5,0.7703,0.0982,0.75,0.3257,False,MP,30,6,0,6,False,,255,7,0.1504,OSRM,route_maps/FDR-125.html
R0267,JANIPUR ↔ DASSORE,RETAINED_AS_FEEDER,FDR-428,3.471,Urban,237.9,41.6,City_Core,6,9.0,4,2.0,0.9613,0.2414,0.75,0.451,False,MP,30,2,0,2,False,,96,5,0.3814,OSRM,route_maps/FDR-428.html
R0268,JANIPUR ↔ BISHNAH,RETAINED_AS_FEEDER,FDR-198,23.284,Peri_Urban,1396.5,264.1,City_Core,46,69.0,9,4.5,0.5972,0.1147,0.75,0.267,True,MP,30,9,0,9,False,,339,15,0.1527,OSRM,route_maps/FDR-198.html
R0271,JANIPUR ↔ BAHUFORT,RETAINED_AS_FEEDER,FDR-050,8.346,Urban,585.0,97.9,City_Core,16,24.0,2,1.0,0.8449,0.2196,0.75,0.3992,True,MP,30,4,0,4,False,,171,10,0.2365,OSRM,route_maps/FDR-050.html
R0273,JANIPUR ↔ ASSARWAN DEGREE COLLEGE,RETAINED_AS_FEEDER,FDR-230,13.013,Urban,814.0,152.1,City_Core,26,39.0,6,3.0,0.6099,0.0262,0.75,0.2385,False,LP,60,3,0,3,False,,340,2,0.0658,OSRM,route_maps/FDR-230.html
R0274,JANIPUR ↔ MUTHI VILLAGE,RETAINED_AS_FEEDER,FDR-048,13.016,Urban,786.6,154.5,City_Core,26,39.0,10,5.0,0.9302,0.1448,0.75,0.4031,True,MP,30,6,0,6,False,,281,9,0.2103,OSRM,route_maps/FDR-048.html
R0275,JANIPUR ↔ SUM TOPH MAKWAL,RETAINED_AS_FEEDER,FDR-368,59.322,Regional_District,3887.0,686.5,City_Core,118,177.0,11,5.5,0.1493,0.0353,0.75,0.0692,True,MP,90,8,0,8,False,,251,12,0.0788,OSRM,route_maps/FDR-368.html
R0277,JANIPUR ↔ MAHAMAYA,RETAINED_AS_FEEDER,FDR-051,8.346,Urban,585.0,97.9,City_Core,16,24.0,2,1.0,0.8449,0.2196,0.75,0.3992,True,MP,30,4,0,4,False,,171,10,0.2365,OSRM,route_maps/FDR-051.html
R0279,JANIPUR ↔ TRIKUTA NAGAR,RETAINED_AS_FEEDER,FDR-024,10.333,Urban,728.4,129.3,City_Core,20,30.0,9,4.5,0.9804,0.2331,0.75,0.4551,True,MP,30,5,0,5,False,,244,11,0.2487,OSRM,route_maps/FDR-024.html
