Route_ID,Route_Name,Route_Code,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Population_Served_Raw,Corridor_Competitors,HV_POI_Count,Overlap_Metric,Geo_Source,Tourist_Corridor,Seasonal_Operability,District_HQ_Floor,SSCL_CDI_Conflict,SSCL_CDI_Conflict_Strong,SSCL_CDI_Conflict_Weak_SSCL,Daily_Trips,Daily_KM,Daily_Capacity_Pax,Daily_Demand_Pax,Load_Ratio,Load_Flag,Pax_Journey_Time_Min,Journey_Time_Flag,Daily_Revenue_INR,Daily_Op_Cost_INR,Viability_Ratio,Subsidy_Risk_Flag,Emissions_GCO2_Daily,Equity_Score,Map_File
R0037,Soura to LD,SRSR10105860,MERGED_INTO_TRUNK,FDR-054,LPV / Tempo,10.817,Urban,798.2,86.5,City_Core,21,10.5,11,5.5,0.7865,0.4422,1.25,0.6143,True,HP,20,0,0,0,0,False,,0,85889,243,69,0.1055,OSRM,False,Year_Round,False,False,False,False,96.0,1038.4,0.0,229.0,0.0,Red_NoCapacity,58.8,True,2286.0,67498.0,0.034,False,986510.0,0.178,route_maps_kashmir/FDR-054.html
R0038,Parimpora to Chadora,BGBG02022106,MERGED_INTO_TRUNK,FDR-423,Private Minibus,24.64,Peri_Urban,1458.3,123.2,City_Core,49,24.5,8,4.0,0.6039,0.1944,1.25,0.3992,False,MP,35,0,0,0,0,False,,0,159195,419,64,0.1216,OSRM,False,Year_Round,False,False,False,False,54.9,1351.7,0.0,97.0,0.0,Red_NoCapacity,84.6,True,975.0,87859.0,0.011,True,1284096.0,0.127,route_maps_kashmir/FDR-423.html
R0039,Soura to LD,SRSR10105860,MERGED_INTO_TRUNK,FDR-054,LPV / Tempo,10.099,Urban,682.4,80.8,City_Core,20,10.0,8,4.0,0.9722,0.5977,1.25,0.785,True,HP,20,0,0,0,0,False,,0,95384,292,75,0.1252,OSRM,False,Year_Round,False,False,False,False,96.0,969.5,0.0,178.0,0.0,Red_NoCapacity,55.9,True,1780.0,63018.0,0.028,False,921029.0,0.164,route_maps_kashmir/FDR-054.html
R0040,Soura to Railway Station,SRAN10015813,MERGED_INTO_TRUNK,FDR-257,LPV / Tempo,18.412,Peri_Urban,1608.0,92.1,City_Core,36,18.0,8,4.0,0.5955,0.4035,1.25,0.4995,False,MP,35,0,0,0,0,False,,0,117708,367,91,0.1408,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,1010.0,0.0,71.0,0.0,Red_NoCapacity,69.0,True,711.0,65652.0,0.011,True,959528.0,0.108,route_maps_kashmir/FDR-257.html
R0041,Soura to Hazratbal,SRSR10105818,MERGED_INTO_TRUNK,TRK-031,LPV / Tempo,8.337,Urban,1248.4,66.7,City_Core,16,8.0,6,3.0,0.6895,0.4061,1.25,0.5478,False,MP,35,0,0,0,0,False,,0,59647,163,41,0.0349,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,457.3,0.0,409.0,0.0,Red_NoCapacity,56.4,True,4088.0,29727.0,0.138,True,434477.0,0.123,route_maps_kashmir/TRK-031.html
R0042,Sora to LD,SRSR10105060,MERGED_INTO_TRUNK,FDR-054,LPV / Tempo,10.099,Urban,682.4,80.8,City_Core,20,10.0,8,4.0,0.9722,0.5977,1.25,0.785,True,HP,20,0,0,0,0,False,,0,95384,292,75,0.1252,OSRM,False,Year_Round,False,False,False,False,96.0,969.5,0.0,178.0,0.0,Red_NoCapacity,55.9,True,1780.0,63018.0,0.028,False,921029.0,0.164,route_maps_kashmir/FDR-054.html
R0043,Baghat Shora to Lalchowk,BRSR04100162,RETAINED_AS_FEEDER,FDR-261,,13.003,Urban,1312.7,104.0,City_Core,26,13.0,12,6.0,0.5753,0.3788,0.75,0.477,False,MP,35,4,0,0,4,False,,5630,80997,494,55,0.1314,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,713.3,738.0,49.0,0.066,Amber_Under,75.0,True,487.0,46365.0,0.01,True,677642.0,0.055,route_maps_kashmir/FDR-261.html
R0044,Jehangir Chowk to JVC,SRSR10102559,MERGED_INTO_TRUNK,FDR-260,Private Minibus,8.334,Urban,646.4,66.7,City_Core,16,8.0,15,7.5,0.678,0.3067,1.25,0.4924,False,MP,35,0,0,0,0,False,,0,58845,361,27,0.1862,OSRM,False,Year_Round,False,False,False,False,54.9,457.2,0.0,34.0,0.0,Red_NoCapacity,56.4,True,341.0,29717.0,0.011,True,434320.0,0.055,route_maps_kashmir/FDR-260.html
R0045,Parimpora to Rawalpora,BGSR02102143,RETAINED_AS_FEEDER,FDR-333,,14.409,Urban,938.3,115.3,City_Core,28,14.0,11,5.5,0.6442,0.1587,0.75,0.4014,False,MP,35,5,0,5,0,False,,10148,97796,331,33,0.0754,OSRM,False,Year_Round,False,False,False,False,54.9,790.4,1457.0,153.0,0.105,Amber_Under,80.6,True,1528.0,51378.0,0.03,True,750915.0,0.099,route_maps_kashmir/FDR-333.html
R0046,Parimpora to Rawalpora,BGSR02102143,MERGED_INTO_TRUNK,FDR-333,Private Minibus,14.409,Urban,938.3,115.3,City_Core,28,14.0,11,5.5,0.6442,0.1587,1.25,0.4014,False,MP,35,0,0,0,0,False,,0,97796,331,33,0.0754,OSRM,False,Year_Round,False,False,False,False,54.9,790.4,0.0,153.0,0.0,Red_NoCapacity,80.6,True,1528.0,51378.0,0.03,True,750915.0,0.099,route_maps_kashmir/FDR-333.html
R0047,Parimpora to Rawalpora,BGSR02102143,MERGED_INTO_TRUNK,FDR-333,LPV / Tempo,14.409,Urban,938.3,115.3,City_Core,28,14.0,11,5.5,0.6442,0.1587,1.25,0.4014,False,MP,35,0,0,0,0,False,,0,97796,331,33,0.0754,OSRM,False,Year_Round,False,False,False,False,54.9,790.4,0.0,153.0,0.0,Red_NoCapacity,80.6,True,1528.0,51378.0,0.03,True,750915.0,0.099,route_maps_kashmir/FDR-333.html
R0048,Soura to LD,SRSR10105860,MERGED_INTO_TRUNK,FDR-054,LPV / Tempo,18.128,Peri_Urban,1262.2,90.6,City_Core,36,18.0,18,9.0,0.7185,0.4381,1.25,0.5783,True,MP,35,0,0,0,0,False,,0,133960,552,99,0.1337,OSRM,False,Year_Round,False,False,False,False,54.9,994.5,0.0,57.0,0.0,Red_NoCapacity,68.3,True,566.0,64639.0,0.009,False,944728.0,0.122,route_maps_kashmir/FDR-054.html
