Route_Code,Route_ID,Route_Name,Action_Taken,New_Route_ID,Displaced_Operator_Class,Route_KM,Route_Type,OSRM_Duration_S,Cycle_Time_Min,Congestion_Zone,N_Stops_Estimated,Stop_Penalty_Min,Sharp_Turns,Junction_Penalty_Min,Pop_Score,POI_Score,Road_Multiplier,Final_CDI,Social_Flag,Priority_Band,Headway_Min,Fleet_Required,HPV_Count,MPV_Count,LPV_Count,CMP_Trunk,CMP_Route_ID,Population_Served,Population_Served_Raw,Corridor_Competitors,HV_POI_Count,Overlap_Metric,Geo_Source,Tourist_Corridor,Seasonal_Operability,District_HQ_Floor,SSCL_CDI_Conflict,SSCL_CDI_Conflict_Strong,SSCL_CDI_Conflict_Weak_SSCL,Daily_Trips,Daily_KM,Daily_Capacity_Pax,Daily_Demand_Pax,Load_Ratio,Load_Flag,Pax_Journey_Time_Min,Journey_Time_Flag,Daily_Revenue_INR,Daily_Op_Cost_INR,Viability_Ratio,Subsidy_Risk_Flag,Emissions_GCO2_Daily,Equity_Score,Map_File
SRSR10104446-01,R0038,Safakadal to SMHS,RETAINED_AS_FEEDER,FDR-345,,1.579,Urban,163.2,12.6,City_Core,3,1.5,4,2.0,1.0,1.0,0.75,1.0,True,HP,20,2,0,0,2,False,,51299,18965,9,26,0.0127,OSRM,False,Year_Round,False,True,True,False,96.0,151.6,3048.0,901.0,0.296,Amber_Under,21.8,False,9012.0,9853.0,0.915,False,144005.0,1.0,route_maps_kashmir/FDR-345.html
SRSR10105846-01,R0039,Soura to SMHS,UPGRADED_TO_TRUNK,TRK-044,,7.687,Urban,559.6,61.5,City_Core,15,7.5,6,3.0,1.0,0.6008,1.25,0.8004,False,HP,20,5,0,5,0,False,,14266,75598,129,75,0.1177,OSRM,False,Year_Round,False,True,True,False,96.0,738.0,2732.0,323.0,0.118,Amber_Under,46.2,True,3231.0,47967.0,0.067,True,701054.0,0.185,route_maps_kashmir/TRK-044.html
SRSR10105846-02,R0040,Soura to SMHS,MERGED_INTO_TRUNK,TRK-044,Private Minibus,7.687,Urban,559.6,61.5,City_Core,15,7.5,6,3.0,1.0,0.6008,1.25,0.8004,False,HP,20,0,0,0,0,False,,0,75598,129,75,0.1177,OSRM,False,Year_Round,False,False,False,False,96.0,738.0,0.0,323.0,0.0,Red_NoCapacity,46.2,True,3231.0,47967.0,0.067,True,701054.0,0.185,route_maps_kashmir/TRK-044.html
SRBG10025821-02,R0041,Soura to Parimpora,RETAINED_AS_FEEDER,FDR-121,,12.845,Urban,926.8,102.8,City_Core,25,12.5,20,10.0,0.7944,0.3395,0.75,0.567,False,MP,35,4,0,4,0,False,,10064,102944,249,74,0.1604,OSRM,False,Year_Round,False,False,False,False,54.9,704.6,1307.0,96.0,0.073,Amber_Under,74.4,True,956.0,45802.0,0.021,True,669408.0,0.131,route_maps_kashmir/FDR-121.html
BGSR02102161-02,R0042,Parimpora to Saidakadal,MERGED_INTO_TRUNK,TRK-045,Private Minibus,14.067,Urban,1375.0,112.5,City_Core,28,14.0,4,2.0,0.8285,0.4179,1.25,0.6232,False,HP,20,0,0,0,0,False,,0,116598,342,68,0.1865,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,96.0,1350.4,0.0,119.0,0.0,Red_NoCapacity,71.8,True,1186.0,87778.0,0.014,True,1282910.0,0.108,route_maps_kashmir/TRK-045.html
SRSR10105806,R0043,Soura to Qamarwari,UPGRADED_TO_TRUNK,TRK-039,,9.3,Urban,818.9,74.4,City_Core,18,9.0,19,9.5,0.6482,0.2422,1.25,0.4452,False,MP,35,4,0,4,0,False,,9214,63584,168,41,0.0461,OSRM,False,Year_Round,False,False,False,False,54.9,510.2,1806.0,304.0,0.169,Amber_Under,60.2,True,3045.0,33161.0,0.092,True,484663.0,0.12,route_maps_kashmir/TRK-039.html
SRSR10105846-03,R0044,Soura to SMHS,MERGED_INTO_TRUNK,TRK-044,Private Minibus,7.687,Urban,559.6,61.5,City_Core,15,7.5,6,3.0,1.0,0.6008,1.25,0.8004,False,HP,20,0,0,0,0,False,,0,75598,129,75,0.1177,OSRM,False,Year_Round,False,False,False,False,96.0,738.0,0.0,323.0,0.0,Red_NoCapacity,46.2,True,3231.0,47967.0,0.067,True,701054.0,0.185,route_maps_kashmir/TRK-044.html
SRSP10090619,R0045,Qamarwari to Pathachowk,RETAINED_AS_FEEDER,FDR-249,,19.719,Peri_Urban,1705.8,98.6,City_Core,39,19.5,11,5.5,0.5686,0.2793,0.75,0.424,False,MP,35,4,0,4,0,False,,11015,122169,270,67,0.2028,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,1081.7,1363.0,66.0,0.049,Amber_Under,72.3,True,662.0,70312.0,0.009,True,1027642.0,0.143,route_maps_kashmir/FDR-249.html
SRSR10105860-09,R0046,Soura to LD,MERGED_INTO_TRUNK,FDR-070,Private Minibus,10.099,Urban,682.4,80.8,City_Core,20,10.0,8,4.0,0.9721,0.5242,1.25,0.7482,True,HP,20,0,0,0,0,False,,0,95384,256,75,0.1554,OSRM,False,Year_Round,False,False,False,False,96.0,969.5,0.0,156.0,0.0,Red_NoCapacity,55.9,True,1556.0,63018.0,0.025,False,921029.0,0.177,route_maps_kashmir/FDR-070.html
SRSR10103460-02,R0047,Lalbazar to LD,MERGED_INTO_TRUNK,FDR-078,Private Minibus,10.261,Urban,1115.0,82.1,City_Core,20,10.0,7,3.5,0.959,0.5043,1.25,0.7316,True,HP,20,0,0,0,0,False,,0,95836,295,72,0.1419,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,96.0,985.1,0.0,149.0,0.0,Red_NoCapacity,56.6,True,1486.0,64029.0,0.023,False,935803.0,0.154,route_maps_kashmir/FDR-078.html
SRSR10100615-01,R0048,Qamarwari to Dalgate,RETAINED_AS_FEEDER,FDR-108,,8.844,Urban,1139.6,70.8,City_Core,17,8.5,13,6.5,0.885,0.3521,0.75,0.6186,False,HP,20,5,0,5,0,False,,7591,77329,248,42,0.1002,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,96.0,849.0,2373.0,202.0,0.085,Amber_Under,50.9,True,2020.0,55187.0,0.037,True,806573.0,0.099,route_maps_kashmir/FDR-108.html
SRSR10101860-02,R0049,Hazratbal to LD,MERGED_INTO_TRUNK,FDR-123,Private Minibus,8.251,Urban,1283.5,66.0,City_Core,16,8.0,10,5.0,0.6412,0.2912,1.25,0.4662,True,MP,35,0,0,0,0,False,,0,55948,193,34,0.1245,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,452.6,0.0,86.0,0.0,Red_NoCapacity,56.0,True,864.0,29421.0,0.029,False,429995.0,0.138,route_maps_kashmir/FDR-123.html
SRSR10101860-03,R0050,Hazratbal to LD,MERGED_INTO_TRUNK,FDR-123,Private Minibus,8.251,Urban,1283.5,66.0,City_Core,16,8.0,10,5.0,0.6412,0.2912,1.25,0.4662,True,MP,35,0,0,0,0,False,,0,55948,193,34,0.1245,OSRM+JhelumBridge,False,Year_Round,False,False,False,False,54.9,452.6,0.0,86.0,0.0,Red_NoCapacity,56.0,True,864.0,29421.0,0.029,False,429995.0,0.138,route_maps_kashmir/FDR-123.html
